"","ID","ESCUELA","GRADO","Grupo","Anios","Total_meses","Sexo","Calificacion","ConteoT","Target","NumEntrenamientos","ConteoCorrecto11-14","Conteocorrecto_Target11-14","NumEntrenamientos2","ConteoCorrecto12-13","Conteocorrecto_Target12-13","Nivel _actividad","Sonrisa_Risa","Placer_alta_intensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracion","Autotranquilizacion","control_Inhibitorio","Placer_baja_intensidad","Sensibilidad perceptual","Atencion_foc","Shifting","conjunto_atencion","CE_condistractibilidad","AfectoNegativo","ExtraversionSurgency","CE_sindistractibilidad","Alerta","Orientacion","Conflicto","ANT_porcentajecorrecto","Perfiles","Perfiles_sindistac","CE_AltosBajos","AN_AltosBajos","Surgency_AltosBajos","CE_sindistrac_AltosBajos","CE_super_AltosBajos","AN_super_AltosBajos","Sugency_super_AltosBajos","CE_sindistrac_super_AltosBajos","Alerta_AltosBajos","Orientacion_AltosBajos","Conflicto_AltosBajos"
"135","135",1,2,4,NA,NA,1,7.3,12,1,3,1,1,1,1,1,4.53846153846154,5.38461538461539,5,4.38461538461539,5.53846153846154,3.30769230769231,4.5,4.16666666666667,3.16666666666667,4.15384615384615,5.30769230769231,4.61538461538461,4.92307692307692,5.25,4.88888888888889,4.8,4.85714285714286,4.89547008547009,4.25897435897436,4.69230769230769,4.91933760683761,143,-36,30,95.1388888888888,"2",2,1,0,1,1,NA,NA,NA,NA,1,0,0
"136","136",1,2,4,8,96,1,7.6,NA,NA,3,NA,NA,NA,NA,NA,5.53846153846154,4.53846153846154,5.61538461538461,4.92307692307692,6.46153846153846,2.07692307692308,4.75,4.75,4.08333333333333,4.84615384615385,4.66666666666667,4.23076923076923,4.69230769230769,5.41666666666667,3.88888888888889,4,3.92857142857143,4.4457264957265,4.61923076923077,4.85897435897436,4.55715811965812,NA,NA,NA,NA,"1",1,0,1,1,0,0,1,1,NA,NA,NA,NA
"137","137",1,2,4,NA,NA,0,9.6,12,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","138",1,2,4,8,98,1,9.1,11,1,3,1,1,2,0,0,5.38461538461539,6.46153846153846,5.76923076923077,5.92307692307692,6.15384615384615,1.30769230769231,3.08333333333333,3.18181818181818,4.08333333333333,3.84615384615385,5.30769230769231,3.46153846153846,5.61538461538461,3.83333333333333,5.22222222222222,3.6,4.64285714285714,4.34649572649573,3.9004662004662,5.16666666666667,4.53311965811966,42.5,84.5,91,93.75,"0",0,0,0,1,0,0,0,1,0,0,1,0
"139","139",1,2,4,NA,NA,0,8.2,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","140",1,2,4,8,96,1,8.3,12,1,3,1,1,1,1,1,3.53846153846154,4.84615384615385,4.84615384615385,3.76923076923077,5.61538461538461,4.53846153846154,3.83333333333333,3.66666666666667,4.5,4.07692307692308,3.92307692307692,4.92307692307692,5.30769230769231,5.08333333333333,5,4,4.64285714285714,4.86282051282051,4,4.52564102564103,5.07852564102564,64,21,159,83.3333333333333,"2",2,1,0,0,1,NA,0,NA,1,1,0,1
"141","141",1,2,4,8,96,0,8.7,12,1,3,1,1,3,1,1,4.46153846153846,4.38461538461539,4.46153846153846,4.38461538461539,5.53846153846154,4.15384615384615,5.83333333333333,4.91666666666667,5.25,4.07692307692308,4,4.30769230769231,4.61538461538461,6,3.55555555555556,4.6,3.92857142857143,4.6157264957265,4.81538461538462,4.56410256410256,4.61965811965812,165,20,-100.5,93.75,"1",1,0,1,1,0,NA,1,NA,NA,1,0,0
"142","142",1,2,4,NA,NA,1,7.2,13,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","143",1,2,4,7,84,0,9.3,12,0,3,1,0,1,1,0,4,4.75,4.58333333333333,4.11111111111111,5.07692307692308,4.61538461538461,3.91666666666667,3.54545454545455,4.57142857142857,3.54545454545455,3.91666666666667,4.25,5.25,4.1,4.55555555555556,4.25,4.46153846153846,4.48111111111111,3.8991341991342,4.52279202279202,4.53888888888889,191,65,197.5,81.9444444444444,"0",0,0,0,0,0,NA,0,NA,0,1,1,1
"144","144",1,2,4,NA,NA,0,7.9,14,1,3,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","145",1,2,4,NA,NA,1,6.9,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","146",1,2,4,NA,NA,0,8.6,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","147",1,2,4,7,95,0,9,NA,NA,3,NA,NA,NA,NA,NA,5.46153846153846,5.46153846153846,5.53846153846154,5.30769230769231,5.76923076923077,2.61538461538462,3.91666666666667,4.83333333333333,3.91666666666667,4.38461538461539,4.84615384615385,4.23076923076923,5,5.09090909090909,4.66666666666667,4.4,4.57142857142857,4.677668997669,4.37948717948718,5.02564102564103,4.74708624708625,NA,NA,NA,NA,"1",1,0,1,1,0,NA,NA,1,NA,NA,NA,NA
"148","148",1,2,4,7,94,1,7.2,12,1,3,1,1,2,1,1,5,5.61538461538461,6.61538461538461,3.84615384615385,5.61538461538461,4.38461538461539,3.5,3.66666666666667,4.91666666666667,6.15384615384615,3.61538461538462,4.08333333333333,5.5,6,5,4.2,4.71428571428571,4.95666666666667,4.37051282051282,5.17948717948718,5.14583333333333,60,51.5,90.5,89.5833333333333,"3",3,1,1,1,1,NA,NA,1,1,1,1,0
"149","149",1,2,4,7,94,0,8.4,11,1,3,1,1,2,0,0,5.23076923076923,4.92307692307692,4.61538461538461,4.92307692307692,5.69230769230769,3.53846153846154,4.16666666666667,3.83333333333333,4.66666666666667,3.76923076923077,4.38461538461539,3.61538461538462,4.30769230769231,4.16666666666667,2.77777777777778,4,3.21428571428571,3.77350427350427,4.16410256410257,4.82051282051282,3.71688034188034,40,106,112.5,79.8611111111111,"0",0,0,0,1,0,0,NA,1,0,0,1,1
"150","150",1,2,5,NA,NA,0,9.3,12,0,3,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","151",1,2,5,NA,NA,1,9,13,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","152",1,2,5,8,97,0,8.6,12,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","153",1,2,5,7,88,0,8.7,12,1,3,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","154",1,2,5,7,91,1,6.8,11,1,3,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","155",1,2,5,8,96,1,9,12,0,3,1,0,2,1,0,6.25,5.84615384615385,5.72727272727273,5.36363636363636,6.92307692307692,3.83333333333333,4.75,5.16666666666667,3.625,3.5,5.25,3.41666666666667,5.6,4.6,4,3.4,3.78571428571429,4.20333333333333,4.45833333333333,5.65724553224553,4.40416666666667,-29,179.5,125.5,95.8333333333333,"1",1,0,1,1,0,0,NA,1,0,0,1,1
"156","156",1,2,5,7,84,1,9.8,NA,NA,3,NA,NA,NA,NA,NA,5,5.25,4.16666666666667,4.08333333333333,5.16666666666667,2.16666666666667,3.45454545454545,2.09090909090909,3.09090909090909,3.18181818181818,6.16666666666667,6.08333333333333,5.58333333333333,4.18181818181818,5.375,6.25,5.66666666666667,5.49469696969697,3.5969696969697,4.30555555555556,5.30587121212121,NA,NA,NA,NA,"2",2,1,0,0,1,1,0,0,1,NA,NA,NA
