ID,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,ConteoCorrecto12-13,Conteocorrecto_Target12-13,nivelactividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_errores_porcentaje_50,ANT_errores_omisión_50,ANT_errores_comision_50,ANT_porcentaje_errores_omision_50,ANT_porcentaje_errores_comision_50,ANT_porcentajecorrecto,ANT_porcentaje_correctas_50,ANT_filtrado_50,Alerta_50,Orientacion_50,Conflicto_50,Central_Cue_rt,Spatial_Cue_rt,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
16,0,1,1,1,6,76,0,6.6,14,1,0,0,5.5,5.69230769230769,4.69230769230769,4.09090909090909,5.38461538461539,3.46153846153846,4.4,3.5,3.90909090909091,2.90909090909091,4.66666666666667,4.25,5.76923076923077,5.63636363636364,3.66666666666667,4,3.76923076923077,4.66445221445222,3.8769696969697,4.80361305361305,4.83056526806527,616,68,399,113,76.3888888888889,17,11.5646258503401,96,65.3061224489796,,,,,,23.6111111111111,,0,,,,883.11,770.666666666667,0,2,0,0,1,1,,0,1,,1,1,1
17.00,0,1,1,1,6,72,0,8.8,,,,,4.61538461538462,4.61538461538462,4.30769230769231,3,5.69230769230769,3.69230769230769,4.33333333333333,4.16666666666667,5.75,3.30769230769231,4.07692307692308,4.76923076923077,4.84615384615385,4.33333333333333,4.22222222222222,3.4,3.92857142857143,4.31418803418803,4.32692307692308,4.32051282051282,4.54273504273504,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,,0,0,,,
18,0,1,1,1,6,75,1,8.7,12,1,1,1,5.84615384615385,5.07692307692308,4.61538461538462,5.30769230769231,6.07692307692308,2.15384615384615,4.45454545454545,4.91666666666667,3.83333333333333,3.15384615384615,5.38461538461539,4.61538461538462,5,5.08333333333333,3.77777777777778,3.2,3.57142857142857,4.33529914529915,4.3486013986014,4.84615384615385,4.61912393162393,46,36.5,130.5,28,17.3611111111112,4,2.72108843537415,24,16.3265306122449,17.3611111111112,4,24,2.72108843537415,16.3265306122449,82.6388888888888,82.6388888888888,1,46,36.5,130.5,769.04,755.46875,1,1,0,1,1,0,0,,1,,0,0,1
19,0,1,1,1,6,80,0,9.2,12,0,1,0,4.76923076923077,5.46153846153846,4.69230769230769,4.38461538461539,6.15384615384615,4.61538461538462,4.27272727272727,4.58333333333333,5.16666666666667,5.07692307692308,4.25,4.53846153846154,4.61538461538462,5.81818181818182,4.44444444444444,3.4,4.07142857142857,4.56329448329448,4.66993006993007,5.01282051282051,4.8541181041181,190.5,102,223.5,60,39.5833333333334,6,4.08163265306122,54,36.734693877551,39.5833333333334,6,54,4.08163265306122,36.734693877551,60.4166666666666,60.4166666666666,1,190.5,102,223.5,969.96,869.285714285714,1,3,0,1,1,1,,1,1,,1,1,1
20,0,1,1,1,,,1,9.4,12,0,1,0,4.69230769230769,4.42857142857143,4.72727272727273,4.22222222222222,6.18181818181818,2,4.45454545454545,3.90909090909091,3.7,3.38461538461538,6.16666666666667,5.28571428571429,6.1,5.4,4.77777777777778,5.8,5.14285714285714,5.47269841269841,4.32298368298368,4.37536537536538,5.39087301587302,55,58,-11,9,4.1666666666667,2,1.36054421768707,7,4.76190476190476,4.1666666666667,2,7,1.36054421768707,4.76190476190476,95.8333333333333,95.8333333333333,1,55,58,-11,885.88,802.722222222222,3,3,1,1,0,1,1,,0,1,0,1,0
21,0,1,1,1,6,75,0,7.4,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,235,48.5,225.5,24,14.5833333333334,14,9.52380952380952,10,6.80272108843537,14.5833333333334,14,10,9.52380952380952,6.80272108843537,85.4166666666666,85.4166666666666,1,235,48.5,225.5,1012.00,964.064516129032,,,,,,,,,,,1,1,1
22,0,1,1,1,6,80,0,8.1,13,0,1,0,4.92307692307692,5.38461538461539,4.92307692307692,3.92307692307692,5.84615384615385,3.23076923076923,5.16666666666667,4.5,4.58333333333333,4.38461538461539,5.25,4.84615384615385,5.69230769230769,5.5,3.77777777777778,3.6,3.71428571428571,4.68324786324786,4.77692307692308,4.70512820512821,4.95405982905983,-24,-89,-25,78,52.0833333333334,75,51.0204081632653,3,2.04081632653061,,,,,,47.9166666666666,,0,,,,1452.59,1463,1,3,0,1,1,1,,1,,,0,0,0
23.00,0,1,1,1,7,86,1,8.5,,,,,4.38461538461539,5.30769230769231,5.5,5.23076923076923,4.30769230769231,3.15384615384615,3.83333333333333,4.33333333333333,5.58333333333333,4.38461538461539,4.92307692307692,5.53846153846154,4.30769230769231,5.25,5.77777777777778,4.8,5.42857142857143,5.13478632478633,4.61153846153846,4.6474358974359,5.21848290598291,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,1,1,,1,,,
24.00,0,1,1,1,7,85,0,10,12,1,1,1,5.27272727272727,5.46153846153846,3.92307692307692,4.30769230769231,5.30769230769231,2.69230769230769,4.33333333333333,3.16666666666667,3.58333333333333,3.07692307692308,4.69230769230769,5.53846153846154,5.23076923076923,5.33333333333333,5.33333333333333,4.6,5.07142857142857,5.20717948717949,3.77051282051282,4.49417249417249,5.35897435897436,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,1,0,,1,,,
25.00,0,1,1,1,,,0,8.5,12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1,1,1,6,78,1,9.1,13,0,1,0,4.84615384615385,5.07692307692308,4.84615384615385,4.92307692307692,4.76923076923077,3.30769230769231,3.75,4,4.58333333333333,3.76923076923077,4.23076923076923,4.07692307692308,4.84615384615385,4.41666666666667,5,4,4.64285714285714,4.46794871794872,4.06666666666667,4.62820512820513,4.5849358974359,266.5,9,303,25,15.2777777777778,9,6.12244897959184,16,10.8843537414966,15.2777777777778,9,16,6.12244897959184,10.8843537414966,84.7222222222222,84.7222222222222,1,266.5,9,303,798.60,824.566666666667,0,0,0,0,1,0,,0,,,1,0,1
27,0,1,1,1,6,80,0,9.8,12,1,1,1,4.15384615384615,4.38461538461539,4.46153846153846,2.84615384615385,5.69230769230769,5.38461538461539,5.66666666666667,4.58333333333333,3.91666666666667,3.76923076923077,4.92307692307692,5.15384615384615,4.92307692307692,5.33333333333333,4,4.6,4.21428571428571,4.80205128205128,4.57179487179487,4.48717948717949,4.8525641025641,117.5,100.5,-91.5,74,49.3055555555556,17,11.5646258503401,57,38.7755102040816,49.3055555555556,17,57,11.5646258503401,38.7755102040816,50.6944444444444,50.6944444444444,1,117.5,100.5,-91.5,1019.29,978.285714285714,3,3,1,1,0,1,,1,,,1,1,0
28,0,1,1,1,6,76,1,9.3,12,0,1,0,4.23076923076923,4.53846153846154,4.69230769230769,3.84615384615385,5.23076923076923,4.46153846153846,4.5,3.91666666666667,4,3.38461538461538,5.07692307692308,5.46153846153846,5.53846153846154,4.41666666666667,5,4.8,4.92857142857143,5.04333333333333,4.17564102564103,4.5,5.10416666666667,4,32.5,68,43,27.7777777777778,20,13.6054421768707,23,15.6462585034014,27.7777777777778,20,23,13.6054421768707,15.6462585034014,72.2222222222222,72.2222222222222,1,4,32.5,68,1039.29,979.625,2,2,1,0,0,1,1,,,1,0,0,0
29,0,1,1,1,6,80,1,8,12,0,1,0,3.15384615384615,5.33333333333333,5.69230769230769,5,5.53846153846154,1.76923076923077,4.41666666666667,4.41666666666667,3.75,4.23076923076923,4.92307692307692,5.07692307692308,5.30769230769231,5.5,4.33333333333333,3.8,4.14285714285714,4.80358974358974,4.3474358974359,4.41452991452991,5.05448717948718,145,2.5,132,22,13.1944444444445,1,0.680272108843537,21,14.2857142857143,13.1944444444445,1,21,0.680272108843537,14.2857142857143,86.8055555555555,86.8055555555555,1,145,2.5,132,749.84,767.935483870968,3,3,1,1,0,1,,,0,1,1,0,1
30.00,0,1,1,1,,,0,9.6,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,1,1,1,6,80,1,8.9,,,,,4.92307692307692,4.76923076923077,5.23076923076923,4.76923076923077,4.46153846153846,3.46153846153846,4.16666666666667,4.08333333333333,4.08333333333333,3.83333333333333,4.84615384615385,3.53846153846154,4.07692307692308,4.16666666666667,4,4,4,3.95641025641026,4.2025641025641,4.6025641025641,3.94551282051282,33.5,50,168,28,17.3611111111112,7,4.76190476190476,21,14.2857142857143,17.3611111111112,7,21,4.76190476190476,14.2857142857143,82.6388888888888,82.6388888888888,1,33.5,50,168,814.61,828.612903225807,0,0,0,0,1,0,0,,,0,0,1,1
32,0,1,1,1,6,81,1,9,12,1,1,1,4.46153846153846,5,5.33333333333333,4.38461538461539,5.27272727272727,2.84615384615385,4.16666666666667,2.91666666666667,3.08333333333333,3.30769230769231,5.07692307692308,5.16666666666667,5.38461538461539,3.66666666666667,4.66666666666667,4.8,4.71428571428571,4.73692307692308,3.71025641025641,4.54972804972805,4.72115384615385,34,89.5,9.5,17,9.7222222222223,0,0,17,11.5646258503401,9.7222222222223,0,17,0,11.5646258503401,90.2777777777777,90.2777777777777,1,34,89.5,9.5,781.97,699,2,0,1,0,0,0,,0,,,0,1,0
33,0,1,1,1,6,72,0,9.8,12,1,1,1,5.07692307692308,4.61538461538462,5.53846153846154,4.76923076923077,5.38461538461539,3.76923076923077,3.63636363636364,3.9,4.36363636363636,4.38461538461539,4.36363636363636,4.58333333333333,5.09090909090909,4.77777777777778,4.22222222222222,3.6,4,4.45484848484849,4.12965034965035,4.85897435897436,4.66856060606061,4,41,142.5,39,25,10,6.80272108843537,29,19.7278911564626,25,10,29,6.80272108843537,19.7278911564626,75,75,1,4,41,142.5,823.12,846,0,0,0,0,1,0,0,,1,,0,,1
34,0,1,1,1,6,82,0,9.1,11,1,0,0,4.61538461538462,4.84615384615385,4.61538461538462,4.07692307692308,4.61538461538462,2.53846153846154,4.58333333333333,4,4.41666666666667,3.38461538461538,4.76923076923077,5.15384615384615,5.07692307692308,5.16666666666667,4.75,4.6,4.69230769230769,4.94948717948718,4.23076923076923,4.21794871794872,5.03685897435897,33.5,10.5,64,45,29.1666666666667,24,16.3265306122449,21,14.2857142857143,29.1666666666667,24,21,16.3265306122449,14.2857142857143,70.8333333333333,70.8333333333333,1,33.5,10.5,64,1030.15,1063.95454545455,2,2,1,0,0,1,,,0,1,0,0,0
35.00,0,1,1,1,6,79,0,8.3,,,,,4.76923076923077,4.46153846153846,4.38461538461539,4.30769230769231,3.92307692307692,3.92307692307692,4.58333333333333,3.41666666666667,3.5,2.30769230769231,5.53846153846154,5.69230769230769,4.92307692307692,4.83333333333333,4.66666666666667,4.6,4.64285714285714,4.94307692307692,3.86923076923077,4.2948717948718,5.02884615384615,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0,1,,0,0,,,,
36.00,0,1,1,1,6,75,1,7.6,,,,,5.69230769230769,4.92307692307692,6.15384615384615,4.27272727272727,4.61538461538462,3.07692307692308,3.33333333333333,5,5.08333333333333,3.75,4.53846153846154,4.81818181818182,5.3,4.91666666666667,3.44444444444444,5.6,4.21428571428571,4.81585858585859,4.34102564102564,4.78904428904429,4.61982323232323,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,0,,,1,,,,
37.00,0,1,1,1,6,76,1,7.8,,,,,5.84615384615385,4.61538461538462,5.53846153846154,4.46153846153846,5.30769230769231,2.92307692307692,4.18181818181818,3.91666666666667,3.58333333333333,3.61538461538462,4.25,3.92307692307692,4.46153846153846,4.63636363636364,3.66666666666667,3.8,3.71428571428571,4.09752913752914,3.90944055944056,4.78205128205128,4.17191142191142,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,,0,,,
38,0,1,1,1,,,0,8.9,12,1,1,1,5.16666666666667,5.53846153846154,5.07692307692308,4.53846153846154,4.92307692307692,3.61538461538462,3.81818181818182,3.5,3.66666666666667,4.53846153846154,4.08333333333333,4.69230769230769,5.84615384615385,4.58333333333333,4.66666666666667,3.6,4.28571428571429,4.67769230769231,3.92132867132867,4.80982905982906,4.94711538461539,121,-14.5,66.5,36,22.9166666666667,9,6.12244897959184,27,18.3673469387755,22.9166666666667,9,27,6.12244897959184,18.3673469387755,77.0833333333333,77.0833333333333,1,121,-14.5,66.5,957.08,892.633333333333,0,2,0,0,1,1,,0,1,,1,0,0
39,0,1,1,1,6,75,1,8.2,14,1,0,0,5.15384615384615,4.53846153846154,5.46153846153846,4.76923076923077,5.38461538461539,2.76923076923077,3.33333333333333,4.41666666666667,4,4.92307692307692,4.23076923076923,3.92307692307692,4.46153846153846,4.75,2.88888888888889,3.4,3.07142857142857,3.88470085470085,4.18076923076923,4.67948717948718,4.00587606837607,-216,69.5,10,49,31.9444444444445,12,8.16326530612245,37,25.1700680272109,31.9444444444445,12,37,8.16326530612245,25.1700680272109,68.0555555555555,68.0555555555555,1,-216,69.5,10,1012.92,941.518518518519,0,0,0,0,1,0,0,,,0,0,1,0
40.00,0,1,1,2,,,0,8.3,13,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,1,1,2,6,83,1,8.3,15,1,0,0,4.38461538461539,4.76923076923077,4.53846153846154,5.15384615384615,5.46153846153846,3.53846153846154,3.33333333333333,4.33333333333333,4.91666666666667,4.23076923076923,3.76923076923077,4,5.15384615384615,4.08333333333333,4,4,4,4.2474358974359,4.11666666666667,4.64102564102564,4.30929487179487,155.5,-67,151,99,66.6666666666667,31,21.0884353741497,68,46.2585034013605,,,,,,33.3333333333333,,0,,,,994.23,1030.2,0,0,0,0,1,0,0,0,,0,1,0,1
42,0,1,1,2,7,85,1,8.8,12,0,1,0,4.58333333333333,4.38461538461539,5.69230769230769,5,4.61538461538462,3,4.83333333333333,3.41666666666667,5.16666666666667,5.08333333333333,5.23076923076923,4.46153846153846,5.23076923076923,4.75,5,4.4,4.78571428571429,4.76846153846154,4.74615384615385,4.54594017094017,4.86057692307692,-284.5,110.5,293,103,69.4444444444445,20,13.6054421768707,83,56.4625850340136,,,,,,30.5555555555555,,0,,,,1090.08,1042,3,3,1,1,0,1,,1,,,0,1,1
43.00,0,1,1,2,,,0,9.5,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1,1,2,6,76,0,9.4,12,0,1,0,4.53846153846154,4.92307692307692,5.23076923076923,3.61538461538462,5.38461538461539,3.46153846153846,4.25,3.54545454545455,2.91666666666667,3.46153846153846,5.30769230769231,5.15384615384615,5.33333333333333,4.75,3.88888888888889,4.2,4,4.66521367521368,3.8962703962704,4.52564102564103,4.78151709401709,191.5,234,229.5,76,50.6944444444445,10,6.80272108843537,66,44.8979591836735,,,,,,49.3055555555555,,0,,,,1053.53,817,0,0,0,0,0,0,,0,,,1,1,1
45.00,0,1,1,2,,,0,9.5,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,1,1,2,,,1,9,11,0,0,0,5.61538461538462,4.61538461538462,6.30769230769231,5,5.76923076923077,3.23076923076923,5.27272727272727,4.5,5.08333333333333,4.61538461538462,4.07692307692308,5,5.69230769230769,5,4.22222222222222,3,3.78571428571429,4.58290598290598,4.70967365967366,5.08974358974359,4.97863247863248,130,50,217,12,6.25,2,1.36054421768707,10,6.80272108843537,6.25,2,10,1.36054421768707,6.80272108843537,93.75,93.75,1,130,50,217,759.47,732.171428571429,1,3,0,1,1,1,,1,1,,1,1,1
47,0,1,1,2,6,77,1,8.8,6,1,0,0,2.69230769230769,4.92307692307692,3.30769230769231,3.38461538461538,5.15384615384615,6.07692307692308,5.16666666666667,2.75,3.25,2.84615384615385,6.38461538461539,6.38461538461539,5.84615384615385,5.25,4.88888888888889,4.4,4.71428571428571,5.35393162393162,4.07948717948718,4.25641025641026,5.59241452991453,89,-170.5,-8,25,15.2777777777778,4,2.72108843537415,21,14.2857142857143,15.2777777777778,4,21,2.72108843537415,14.2857142857143,84.7222222222222,84.7222222222222,1,89,-170.5,-8,808.80,956.928571428571,2,2,1,0,0,1,1,0,0,1,1,0,0
48,0,1,1,2,6,76,0,8.1,11,0,0,0,4.33333333333333,4.69230769230769,4.15384615384615,4.53846153846154,5.91666666666667,4.92307692307692,4.91666666666667,5.25,4.16666666666667,4.92307692307692,4.15384615384615,4.38461538461539,4.46153846153846,4.16666666666667,3.77777777777778,3.8,3.78571428571429,4.11811965811966,4.68205128205128,4.75961538461538,4.19764957264957,155,69,112,9,4.1666666666667,3,2.04081632653061,6,4.08163265306122,4.1666666666667,3,6,2.04081632653061,4.08163265306122,95.8333333333333,95.8333333333333,1,155,69,112,870.21,838.117647058824,1,1,0,1,1,0,0,1,,0,1,1,1
49,0,1,1,2,6,80,0,9.7,13,0,1,0,3.07692307692308,4.61538461538462,4.84615384615385,3,5.38461538461539,5.84615384615385,4.91666666666667,4.16666666666667,4.83333333333333,4.46153846153846,4,5.53846153846154,5.38461538461539,4.91666666666667,5.55555555555556,5.6,5.57142857142857,5.39905982905983,4.47564102564103,4.46153846153846,5.34882478632479,-25,17,-18,115,77.7777777777778,29,19.7278911564626,86,58.5034013605442,,,,,,22.2222222222222,,0,,,,1038.89,985.636363636364,3,3,1,1,0,1,1,,,1,0,0,0
50,0,1,1,2,6,78,1,9.1,12,1,1,1,4.30769230769231,4.46153846153846,3.69230769230769,3.61538461538462,5.69230769230769,4.23076923076923,5.41666666666667,3.5,3.58333333333333,3.15384615384615,5.69230769230769,5.23076923076923,5.23076923076923,5.08333333333333,4.44444444444444,4,4.28571428571429,4.79786324786325,4.26923076923077,4.33333333333333,4.99732905982906,47.5,57,338,17,9.7222222222223,10,6.80272108843537,7,4.76190476190476,9.7222222222223,10,7,6.80272108843537,4.76190476190476,90.2777777777777,90.2777777777777,1,47.5,57,338,919.21,936.030303030303,2,2,1,0,0,1,,,0,,0,1,1
