ID,ANT_Temp,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,ConteoCorrecto12-13,Conteocorrecto_Target12-13,Nivel _actividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,Alerta,Orientacion,Conflicto,Errores_totales,ANT_porcentaje_errores_total,ANT_errores_omision,ANT_porcentaje_errores_omision,ANT_errores_comision,ANT_porcentaje_errores_comision,ANT_errores_porcentaje_50,ANT_errores_omisión_50,ANT_errores_comision_50,ANT_porcentaje_errores_omision_50,ANT_porcentaje_errores_comision_50,ANT_porcentajecorrecto,ANT_porcentaje_correctas_50,ANT_filtrado_50,Alerta_50,Orientacion_50,Conflicto_50,Central_Cue_rt,Spatial_Cue_rt,Perfiles,Perfiles_sindistac,CE_AltosBajos,AN_AltosBajos,Surgency_AltosBajos,CE_sindistrac_AltosBajos,CE_super_AltosBajos,AN_super_AltosBajos,Sugency_super_AltosBajos,CE_sindistrac_super_AltosBajos,Alerta_AltosBajos,Orientacion_AltosBajos,Conflicto_AltosBajos
KW1352,,0,5,2,15,,,1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,146,18,15,8.333333333,6,4.081632653,9,6.12244898,8.333333333,6,9,4.081632653,6.12244898,91.66666667,91.66666667,1,43.5,146,18,1042.147059,943.7096774,,,,,,,,,,,0,1,0
KW1353,,0,5,2,15,,,0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,178,124.5,58,32,20.13888889,21,14.28571429,11,7.482993197,20.13888889,21,11,14.28571429,7.482993197,79.86111111,79.86111111,1,178,124.5,58,1191.935484,1085.964286,,,,,,,,,,,1,1,0
KW1355,,0,5,2,15,,,0,7.7,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,31.5,46,133.5,19,11.11111111,5,3.401360544,14,9.523809524,11.11111111,5,14,3.401360544,9.523809524,88.88888889,88.88888889,1,31.5,46,133.5,818.0322581,770.3636364,,,,,,,,,,,0,1,1
KW1356,,0,5,2,15,7,88,1,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,3,27,13,6.944444444,4,2.721088435,9,6.12244898,6.944444444,4,9,2.721088435,6.12244898,93.05555556,93.05555556,1,28.5,3,27,911.4848485,868.8181818,,,,,,,,,,,0,0,0
KW1002,,0,1,1,1,6,81,0,7.1,,,,,5,5.416666667,5.833333333,4.916666667,5.583333333,1.916666667,2.916666667,2.909090909,3.916666667,4.230769231,5,5.416666667,6.083333333,6.090909091,4.666666667,4.5,4.615384615,5.351515152,3.794638695,4.777777778,5.564393939,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,1,1,1,0,,1,,,
KW1004,,0,1,1,1,6,79,0,8.7,,,,,4.769230769,4.769230769,3.846153846,4.230769231,5.583333333,3.769230769,3.666666667,3.454545455,4.181818182,4.923076923,5.230769231,4.230769231,5.153846154,4.5,3.555555556,4.25,3.769230769,4.338034188,4.291375291,4.49465812,4.360042735,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,,,
KW1007,,0,1,1,1,6,81,1,7.7,,,,,4.076923077,4.461538462,3.923076923,4.307692308,5.076923077,2.384615385,3.666666667,4,3.833333333,3.615384615,4.5,4.769230769,5.153846154,5.083333333,4,4.4,4.142857143,4.681282051,3.923076923,4.038461538,4.751602564,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,
KW1009,,0,1,1,1,6,81,0,7.8,,,,,2.923076923,4,4,3.615384615,4.153846154,4.076923077,3.083333333,4.083333333,3.5,3.384615385,3.333333333,3.769230769,4.307692308,3.583333333,3.888888889,4.2,4,3.94982906,3.476923077,3.794871795,3.887286325,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,
KW1010,,0,1,1,1,6,77,1,7,,,,,5.538461538,5.384615385,5.769230769,5.846153846,5.769230769,2.615384615,3.833333333,3.5,3.909090909,5.461538462,3.846153846,3.461538462,5.538461538,5.5,2.777777778,2.8,2.785714286,4.015555556,4.11002331,5.153846154,4.319444444,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,,,
KW1015,,0,1,1,1,,,0,9.1,12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
